time,SSI_price_close,SSI_Volume,HCM_price_close,HCM_volume,VIX_price_close,VIX_Volume
2009-05-01,,,"6,650.68553629 ₫",454816.7621,,
2009-06-01,,,"8,418.58928382 ₫",46580074.94,,
2009-07-01,,,"9,260.44820741 ₫",40558804,,
2009-08-03,,,"9,821.68749247 ₫",34238984.51,,
2009-09-01,,,"11,224.78570910 ₫",76479932.34,,
2009-10-01,,,"12,908.50356427 ₫",90395008.08,,
2009-11-02,,,"10,312.77187388 ₫",45791669.37,,
2009-12-01,,,"8,139.21189197 ₫",44757416.9,,
2010-01-01,,,"7,714.55735827 ₫",38811030.36,,
2010-02-01,,,"7,856.10886950 ₫",15423219.3,,
2010-03-01,,,"8,209.98765158 ₫",85300184.34,,
2010-04-01,,,"8,422.31491444 ₫",38266140.39,,
2010-05-03,,,"7,360.67858417 ₫",28535053.88,,
2010-06-01,,,"6,794.47253924 ₫",14932161.32,,
2010-07-01,,,"6,327.35255456 ₫",13247898.12,,
2010-08-02,,,"4,925.99259254 ₫",18099135.63,,
2010-09-01,,,"4,572.11381047 ₫",14673033.03,,
2010-10-01,,,"3,864.35625430 ₫",9684954.885,,
2010-11-01,,,"4,274.85563767 ₫",11833218.77,,
2010-12-01,,,"4,232.39018670 ₫",26722780.76,,
2011-01-03,,,"4,133.30412644 ₫",7286746.649,,
2011-02-01,,,"3,468.01202124 ₫",5890647.107,,
2011-03-01,,,"3,312.30535969 ₫",13785723.54,,
2011-04-01,,,"2,944.27143527 ₫",5980367.095,,
2011-05-02,,,"2,264.82417975 ₫",7226203.318,,
2011-06-01,,,"2,477.15144261 ₫",22209582.74,,
2011-07-01,,,"2,406.37569098 ₫",4626160.43,,
2011-08-01,,,"3,162.91642193 ₫",16132537.81,,
2011-09-01,,,"2,853.50068327 ₫",21704603.88,,
2011-10-03,,,"3,042.58807823 ₫",12597555.77,,
2011-11-01,,,"2,750.36210637 ₫",6453259.364,,
2011-12-01,,,"2,406.56684208 ₫",15331624.86,,
2012-01-02,"4,647.55042193 ₫",31715786.33,"2,647.21983793 ₫",6637174.978,,
2012-02-01,"5,417.01241271 ₫",110788926.8,"2,905.06592660 ₫",27209869.58,,
2012-03-01,"5,663.24024931 ₫",166085196.3,"3,111.34279651 ₫",63297726.18,,
2012-04-02,"7,079.05031146 ₫",177137563.3,"4,159.91688881 ₫",61039988.3,,
2012-05-01,"6,648.15159721 ₫",165627001,"3,730.17340843 ₫",51726806.26,,
2012-06-01,"6,401.92376061 ₫",123007656.1,"3,351.99914608 ₫",23631808.92,,
2012-07-02,"6,340.36680090 ₫",97169341.49,"3,678.60419040 ₫",25049387.95,,
2012-08-01,"5,786.35416798 ₫",111269486.1,"3,317.61966715 ₫",25433435.47,,
2012-09-03,"5,016.89217721 ₫",78228065.01,"3,094.15305741 ₫",17914965.99,,
2012-10-01,"4,862.99977979 ₫",72544114.71,"2,991.01462209 ₫",8819412.102,,
2012-11-01,"4,370.54410584 ₫",64881627.03,"2,819.11723038 ₫",12016622.81,,
2012-12-03,"5,016.89217721 ₫",96451019.14,"3,712.98366933 ₫",26334819.36,,
2013-01-01,"5,724.79720901 ₫",206498557.3,"3,661.41445130 ₫",22238057.79,,
2013-02-01,"5,570.90481086 ₫",94219355.33,"3,558.27601598 ₫",15230597.61,,
2013-03-01,"5,386.23393322 ₫",74362766.22,"3,609.84523401 ₫",17514365.46,,
2013-04-01,"5,263.12001455 ₫",87691478.56,"3,541.08627688 ₫",35962891.25,,
2013-05-01,"5,847.91112695 ₫",102559512.8,"3,764.55288662 ₫",24925535.22,,
2013-06-03,"5,417.01241271 ₫",90012364.82,"3,730.17340843 ₫",31907845.17,,
2013-07-01,"5,078.44913691 ₫",61459456.62,"3,609.84523401 ₫",21065196.38,,
2013-08-01,"5,016.89217721 ₫",55643094.22,"3,678.60419040 ₫",19953895.01,,
2013-09-02,"5,109.22761640 ₫",42183674.85,"3,936.45027907 ₫",10323514.82,,
2013-10-01,"5,078.44913691 ₫",75505403.79,"4,039.58865398 ₫",30440770.04,,
2013-11-01,"5,355.45545300 ₫",100970022.5,"4,533.79364838 ₫",40680351.92,,
2013-12-02,"5,540.12633064 ₫",103580082.1,"5,264.35755366 ₫",48043981.5,,
2014-01-01,"7,079.05031146 ₫",247508895.1,"6,188.30602273 ₫",56143102.35,,
2014-02-03,"7,940.84774142 ₫",297802737,"6,832.92123289 ₫",71272792.33,,
2014-03-03,"9,171.98692592 ₫",322823664.4,"9,132.04881740 ₫",101253823.5,,
2014-04-01,"8,217.85405751 ₫",250978832.1,"7,112.25449087 ₫",83986920.07,,
2014-05-01,"7,417.61358725 ₫",234499935.4,"6,703.99819067 ₫",117561698.9,,
2014-06-02,"7,971.62622091 ₫",228723023.2,"7,692.40818039 ₫",101757649.5,,
