time,HPG_price_close,HPG_volume,HT1_price close,HT1_Volume,VCS_price close,VCS_Volume
2007-12-03,,,,,"4,962.22481121 ₫",1527897.58
2008-01-01,,,,,"4,516.79827232 ₫",3613386.607
2008-02-01,,,,,"3,180.51865565 ₫",2703672.582
2008-03-03,,,,,"2,349.31232822 ₫",2543463.693
2008-04-01,,,,,"2,365.66708235 ₫",1598763.129
2008-05-01,,,,,"1,496.94102486 ₫",1574958.516
2008-06-02,,,,,"1,697.04625184 ₫",1927697.42
2008-07-01,,,,,"2,862.08197234 ₫",9934868.14
2008-08-01,,,,,"3,448.92903222 ₫",24918919.67
2008-09-01,,,,,"2,965.98276327 ₫",15361327.43
2008-10-01,,,,,"2,110.72532683 ₫",13956919.28
2008-11-03,,,,,"1,947.17778555 ₫",4607705.462
2008-12-01,,,,,"1,925.05076526 ₫",2772645.128
2009-01-01,,,,,"2,035.68586672 ₫",2761987.481
2009-02-02,,,,,"1,666.26083230 ₫",1523287.137
2009-03-02,,,,,"2,191.53705311 ₫",3916983.473
2009-04-01,,,,,"2,406.07294549 ₫",12462307.34
2009-05-01,,,,,"2,941.93165426 ₫",10106787.23
2009-06-01,,,,,"4,065.59946727 ₫",25057945.33
2009-07-01,,,,,"4,073.29582215 ₫",7004167.264
2009-08-03,,,,,"4,973.76934354 ₫",6150074.71
2009-09-01,,,,,"4,751.53709627 ₫",5661403.78
2009-10-01,,,,,"5,188.30523592 ₫",16693937.54
2009-11-02,,,,,"4,434.06245732 ₫",4274012.65
2009-12-01,,,,,"4,973.76934354 ₫",4130948.846
2010-01-01,,,,,"5,300.86442609 ₫",2150095.26
2010-02-01,,,,,"5,141.16506225 ₫",574320.3123
2010-03-01,,,,,"4,609.15453092 ₫",598381.0612
2010-04-01,,,,,"5,008.40294051 ₫",684086.4736
2010-05-03,,,,,"4,343.63028744 ₫",994987.209
2010-06-01,,,,,"4,210.86816570 ₫",292442.9553
2010-07-01,,,,,"3,944.38187785 ₫",1742847.474
2010-08-02,,,,,"3,811.61975611 ₫",1309421.817
2010-09-01,,,,,"3,998.25636204 ₫",1281102.812
2010-10-01,,,,,"4,112.73964093 ₫",232959.4371
2010-11-01,,,,,"3,345.02824129 ₫",415664.246
2010-12-01,,,,,"3,024.66746926 ₫",1176283.271
2011-01-03,,,,,"3,298.85011199 ₫",177722.1688
2011-02-01,,,,,"3,235.35518420 ₫",200382.1755
2011-03-01,,,,,"3,163.20185717 ₫",311545.0769
2011-04-01,,,,,"2,712.00305211 ₫",58186.83117
2011-05-02,,,,,"2,299.28602148 ₫",334493.2363
2011-06-01,,,,,"3,438.34654425 ₫",395349.4819
2011-07-01,,,,,"2,308.90646508 ₫",962718.1107
2011-08-01,,,,,"2,387.79410264 ₫",1109912.104
2011-09-01,,,,,"2,348.35028386 ₫",842306.3087
2011-10-03,,,,,"2,063.58515317 ₫",260894.2388
2011-11-01,,,,,"1,847.12517207 ₫",347199.9692
2011-12-01,,,,,"1,793.25068788 ₫",799699.733
2012-01-02,875.78486935 ₫,42534940.95,"2,666.6656 ₫",742068,"2,195.38523055 ₫",104683.4681
2012-02-01,"1,197.07872636 ₫",237772256.3,"3,083.3321 ₫",4200276,"2,305.05828764 ₫",4799835.265
2012-03-01,"1,197.07872636 ₫",338060385.4,"3,833.3318 ₫",18550200,"2,660.05265665 ₫",15296497.08
2012-04-02,"1,347.36133718 ₫",363426862.2,"4,666.6648 ₫",13040196,"2,679.29354386 ₫",2364404.816
2012-05-01,"1,243.71815728 ₫",259432123,"5,249.9979 ₫",15130309,"2,482.07444997 ₫",8256490.826
2012-06-01,"1,243.71815728 ₫",177747537.7,"4,416.6649 ₫",3260184,"2,560.96208752 ₫",2089082.932
2012-07-02,"1,191.89656695 ₫",117013832.9,"3,916.6651 ₫",1921452,"2,167.48594410 ₫",1578076.168
2012-08-01,"1,119.34634125 ₫",60888948.88,"3,916.6651 ₫",1603608,"2,265.61446886 ₫",1397280.37
2012-09-03,"1,000.15668463 ₫",102746365.9,"3,666.6652 ₫",649920,"1,753.80686910 ₫",460748.1344
