time,VIC_price_close,VIC_volume,KDH_price_close,KDN_Volume,DXG_price close,DXG_Volume,,,,,,,,,,,Mã Cổ Phiếu,time,Price open,Price high,Price low,Price close,Volume
2007-09-03,"3,329.369050 ₫",283812916.5,,,,,,,,,,,,,,,DXG,2012-01-02,"1,623.40023885 ₫","1,758.68359146 ₫","1,555.75856255 ₫","1,600.85301468 ₫",10101109.76
2007-10-01,"3,435.399910 ₫",543393622.5,,,,,,,,,,,,,,,DXG,2012-02-01,"1,578.30578672 ₫","2,029.25030046 ₫","1,510.66411042 ₫","1,984.15584833 ₫",9678388.126
2007-11-01,"3,392.987570 ₫",226442976,,,,,,,,,,,,,,,DXG,2012-03-01,"1,916.51417202 ₫","2,277.26978150 ₫","1,826.32538119 ₫","1,939.06139620 ₫",13915961.38
2007-12-03,"3,286.956705 ₫",192002642.6,,,,,,,,,,,,,,,DXG,2012-04-02,"1,984.15584833 ₫","3,088.96990092 ₫","1,916.51417202 ₫","2,953.68654831 ₫",31975861.44
2008-01-01,"3,165.664575 ₫",141073849.5,,,,,,,,,,,,,,,DXG,2012-05-01,"2,931.13932036 ₫","3,720.29221561 ₫","2,525.28926254 ₫","2,795.85596775 ₫",40568858.38
2008-02-01,"2,950.522325 ₫",58893888.8,,,,,,,,,,,,,,,DXG,2012-06-01,"2,818.40319193 ₫","3,066.42267297 ₫","2,141.98642511 ₫","2,141.98642511 ₫",11023447.63
2008-03-03,"2,627.808945 ₫",71732418.05,,,,,,,,,,,,,,,DXG,2012-07-02,"2,187.08087724 ₫","2,435.10035828 ₫","1,803.77804359 ₫","2,119.43920093 ₫",11152449.75
2008-04-01,"2,873.685805 ₫",53783402.18,,,,,,,,,,,,,,,DXG,2012-08-01,"2,096.89197676 ₫","2,660.57261514 ₫","1,961.60862415 ₫","2,119.43920093 ₫",15086567.49
2008-05-01,"2,243.626350 ₫",70707687.8,,,,,,,,,,,,,,,DXG,2012-09-03,"2,119.43920093 ₫","2,164.53365306 ₫","1,713.58914311 ₫","1,713.58914311 ₫",5664618.901
2008-06-02,"2,873.685805 ₫",73562597.66,,,,,,,,,,,,,,,DXG,2012-10-01,"1,668.49469098 ₫","2,096.89197676 ₫","1,578.30578672 ₫","2,006.70307250 ₫",7642866.731
2008-07-01,"3,257.868400 ₫",75146191.91,,,,,,,,,,,,,,,DXG,2012-11-01,"1,961.60862415 ₫","2,119.43920093 ₫","1,803.77804359 ₫","2,096.89197676 ₫",8170026.934
2008-08-01,"3,288.603005 ₫",71380092.87,,,,,,,,,,,,,,,DXG,2012-12-03,"2,051.79752463 ₫","2,570.38371089 ₫","2,029.25030046 ₫","2,435.10035828 ₫",12339001.06
2008-09-01,"2,919.787715 ₫",57800377.29,,,,,,,,,,,,,,,DXG,2013-01-01,"2,435.10035828 ₫","3,088.96990092 ₫","2,164.53365306 ₫","2,863.49764406 ₫",17446779.83
2008-10-01,"2,197.524440 ₫",59995884.21,,,,,,,,,,,,,,,DXG,2013-02-01,"2,818.40319193 ₫","3,336.98938196 ₫","2,638.02538719 ₫","2,795.85596775 ₫",21523187.36
