time,VCB _price _close,VCB _volume,BID _price _close,BID _volume,CTG _price _close,CTG _volume,TCB _price close,TCB_volume
2014-01-01,"8,148.36877975 ₫",93678730.33,"10,249.16204834 ₫",20929185.94,"8,101.40457107 ₫",34955731.5,,
2014-02-03,"8,748.77490025 ₫",57189504.8,"9,469.33450109 ₫",59814867.52,"8,436.96570744 ₫",54875107.76,,
2014-03-03,"8,805.95643535 ₫",84091428.26,"9,357.93056541 ₫",58798219.12,"8,101.40457107 ₫",56825859.31,,
2014-04-01,"8,234.14108239 ₫",53627655.12,"8,800.91088951 ₫",22226495.14,"7,574.09421470 ₫",112252007.6,,
2014-05-01,"8,291.32261749 ₫",48853454.05,"8,243.89121278 ₫",15636137.15,"7,142.65846764 ₫",30092001.12,,
2014-06-02,"8,614.40044569 ₫",36799291.67,"8,466.69908330 ₫",10482946.25,"6,950.90924764 ₫",22282756.61,,
2014-07-01,"8,417.12409958 ₫",18257552.74,"8,466.69908330 ₫",15908654.65,"7,046.78385764 ₫",15426990.1,,
2014-08-01,"9,206.22948402 ₫",31753573.05,"8,299.59318062 ₫",20439637.92,"7,094.72116264 ₫",17125794.8,,
2014-09-01,"8,581.52105478 ₫",47749152.33,"7,686.87153605 ₫",13089711.85,"6,902.97194195 ₫",19719285.71,,
2014-10-01,"9,107.59131130 ₫",74701618.79,"7,519.76563336 ₫",11572439.09,"7,046.78385764 ₫",16253945.78,,
2014-11-03,"9,107.59131130 ₫",23811513.3,"7,074.14989231 ₫",7247350.704,"6,711.22272126 ₫",6449268.99,,
2014-12-01,"10,488.52573340 ₫",89237927.87,"7,074.14989231 ₫",11074690.91,"6,615.34811127 ₫",11448998.51,,
2015-01-01,"11,737.94259187 ₫",90731834.25,"9,747.84433945 ₫",117366927.8,"8,628.71492744 ₫",76624889.35,,
2015-02-02,"12,625.68614970 ₫",35403751.85,"10,360.56598319 ₫",82199296.75,"9,299.83720019 ₫",95175416.42,,
2015-03-02,"11,540.66624576 ₫",77618411.53,"9,803.54630729 ₫",79091606.71,"8,293.15379175 ₫",105478505.1,,
2015-04-01,"11,902.33954707 ₫",38103965.34,"10,471.96991887 ₫",71187650.49,"8,628.71492744 ₫",112238553.2,,
2015-05-01,"14,236.77630949 ₫",48276534.77,"11,251.79746612 ₫",51627322.29,"9,347.77450518 ₫",66347900.99,,
2015-06-01,"16,045.14281472 ₫",68627575.89,"12,310.13485092 ₫",87851391.38,"9,203.96258950 ₫",128537042.3,,
2015-07-01,"16,406.81611603 ₫",56521447.28,"14,204.00175163 ₫",107132220.4,"10,785.89365999 ₫",202362707.8,,
2015-08-03,"13,973.74118090 ₫",84012601.36,"13,528.07553930 ₫",81330471.68,"9,251.89989450 ₫",101764553.7,,
2015-09-01,"14,105.25874519 ₫",64604364.51,"13,819.62889141 ₫",76453594.06,"9,395.71181018 ₫",93156577.07,,
2015-10-01,"15,683.46951407 ₫",55730469.31,"14,052.87157244 ₫",32226545.96,"9,970.95947224 ₫",95607068.26,,
2015-11-02,"14,105.25874519 ₫",39229140.25,"11,895.37676714 ₫",25864720.74,"8,820.46414812 ₫",40331438.07,,
